"","ensembl_gene_id","ensembl_transcript_id","hgnc_symbol"
"16929","ENSG00000157110","ENST00000320203","RBPMS"
"16930","ENSG00000157110","ENST00000287771","RBPMS"
"16931","ENSG00000155970","ENST00000318063","MICU3"
"16932","ENSG00000159167","ENST00000290271","STC1"
"16933","ENSG00000198791","ENST00000361272","CNOT7"
"16934","ENSG00000198791","ENST00000523917","CNOT7"
"16935","ENSG00000131558","ENST00000393161","EXOC4"
"16936","ENSG00000131558","ENST00000253861","EXOC4"
"16937","ENSG00000104671","ENST00000221114","DCTN6"
"16938","ENSG00000253496","ENST00000521411",""
"16939","ENSG00000135245","ENST00000257696","HILPDA"
"16940","ENSG00000104660","ENST00000321250","LEPROTL1"
"16941","ENSG00000104660","ENST00000523116","LEPROTL1"
"16942","ENSG00000171320","ENST00000305188","ESCO2"
"16943","ENSG00000147419","ENST00000356537","CCDC25"
"16944","ENSG00000147419","ENST00000522915","CCDC25"
"16945","ENSG00000147419","ENST00000524084","CCDC25"
"16946","ENSG00000105939","ENST00000242351","ZC3HAV1"
"16947","ENSG00000105939","ENST00000471652","ZC3HAV1"
"16948","ENSG00000136573","ENST00000259089","BLK"
"16949","ENSG00000013374","ENST00000413040","NUB1"
"16950","ENSG00000013374","ENST00000568733","NUB1"
"16951","ENSG00000173530","ENST00000312584","TNFRSF10D"
"16952","ENSG00000198074","ENST00000359579","AKR1B10"
"16953","ENSG00000134014","ENST00000521015","ELP3"
"16954","ENSG00000134014","ENST00000256398","ELP3"
"16955","ENSG00000134014","ENST00000524103","ELP3"
"16956","ENSG00000134014","ENST00000380353","ELP3"
"16957","ENSG00000134014","ENST00000537665","ELP3"
"16958","ENSG00000106025","ENST00000222747","TSPAN12"
"16959","ENSG00000085662","ENST00000285930","AKR1B1"
"16960","ENSG00000128534","ENST00000249299","LSM8"
"16961","ENSG00000165392","ENST00000298139","WRN"
"16962","ENSG00000128524","ENST00000249289","ATP6V1F"
"16963","ENSG00000128524","ENST00000492758","ATP6V1F"
"16964","ENSG00000071243","ENST00000315870","ING3"
"16965","ENSG00000071243","ENST00000339121","ING3"
"16966","ENSG00000133612","ENST00000463381","AGAP3"
"16967","ENSG00000133612","ENST00000397238","AGAP3"
"16968","ENSG00000254093","ENST00000314787","PINX1"
