hgnc_symbol
RFPL1
hCG_1651160
RFPL4B
ZSCAN4
TRIM43
TRIM48
PRAMEF12
CCNA1
RFPL2
PNP
TRIM49L1
TRIM49L2
DEFB103A
ZNF296
SFRS2B
PPP2R2B
ZNF217
ZNF705A
PANX2
ZSCAN5B
SIAH1
FAM90A1
PRR4
DBR1
SPTY2D1
FBXO33
GTF2F1
JUP
TFIP11
CLDN14
CSE1L
PELI1
BZW2
CCNJ
DENND2C
PABPN1
SRRT
USP29
C14orf102
CTR9
SYNJ1
NFYA
C1orf63
HOXB2
PVRL3
C6orf191
CBARA1
SON
AVPI1
FRG2B
RBBP6
EXOSC10
GPBAR1
NANS
SNAI1
TAF4B
C21orf91
CLK1
KDM5B
KIF21A
MED13
SEC61A2
SPRYD5
C14orf138
DDX47
MAST4
PRPF18
PTP4A1
CTNNAL1
EGLN1
MAPKAP1
RTN4
SAMD8
SH3GL2
