"","geneid","hl.ratio","pval"
"167","TRIM60","NA","NA"
"168","LRRC8B","NA","NA"
"169","PKP2","NA","NA"
"170","LEKR1","NA","NA"
"171","LEKR1","NA","NA"
"172","BHLHE22","NA","NA"
"173","IFRD1","3.9375921966172398","4.3240809098031901E-22"
"174","PRKAR2B","NA","NA"
"175","NEFM","NA","NA"
"176","GAPT","NA","NA"
"177","PELI1","NA","NA"
"178","TRIM49C","NA","NA"
"179","CD24P4","NA","NA"
"180","HFE2","NA","NA"
"181","PELI2","NA","NA"
"182","PIM1","NA","NA"
"183","TRIM49B","NA","NA"
"184","LIPF","NA","NA"
"185","PPP1R14C","NA","NA"
"186","ZNF551","NA","NA"
"187","PDZK1","NA","NA"
"188","TFCP2L1","NA","NA"
"189","CTAGE8","NA","NA"
"190","TRPC5OS","NA","NA"
"191","SOX4","NA","NA"
"192","UTS2D","NA","NA"
"193","DBR1","1.80189638620685","6.6066671388996E-9"
"194","KRT6A","-6.2460781985849803","2.6759997026251698E-53"
"195","TFIP11","3.30304825764133","5.24642394856901E-61"
"196","CDH6","NA","NA"
"197","EGR3","NA","NA"
"198","CGN","NA","NA"
"199","HBA2","NA","NA"
"200","IMPG2","NA","NA"
"201","FAM81B","NA","NA"
"202","UGT2B11","NA","NA"
"203","DNTT","NA","NA"
"204","ZNHIT6","5.4773200170690099","1.09347267446153E-16"
"205","THSD7A","4.45265303889318","4.7351424244983703E-2"
"206","MAS1","NA","NA"
"207","MLK4","NA","NA"
"208","FOXD3","NA","NA"
"209","CD96","NA","NA"
"210","RAI2","NA","NA"
"211","LPPR5","NA","NA"
"212","SLC2A3","4.4704700575698197","7.1486694567431902E-148"
"213","FKSG52","NA","NA"
"214","HGF","-0.351637078511227","0.74517220727218003"
"215","B3GNT4","NA","NA"
"216","BIK","NA","NA"
"217","SRSF12","NA","NA"
"218","WNT16","NA","NA"
"219","C12orf50","NA","NA"
"220","ZNF705D","NA","NA"
"221","C15orf60","NA","NA"
"222","LIPG","NA","NA"
"223","AC006967.1","NA","NA"
"224","TYW1B","NA","NA"
"225","FAT3","NA","NA"
"226","SGK1","NA","NA"
"227","RNF125","NA","NA"
"228","SYT14","NA","NA"
"229","COLEC12","NA","NA"
"230","TRIM64B","NA","NA"
"231","GEM","NA","NA"
"232","AGXT","NA","NA"
"233","PRAMEF22","NA","NA"
"234","RBP7","NA","NA"
"235","HOOK1","NA","NA"
"236","GFOD1","NA","NA"
"237","RAB11FIP1","NA","NA"
"238","KL","NA","NA"
"239","GTF2F1","1.92672763423014","1.7757434791049001E-50"
"240","C3orf80","NA","NA"
"241","B3GNT2","NA","NA"
"242","PEG10","5.8998239852372798","0"
"243","MED12L","NA","NA"
"244","HIST1H1T","NA","NA"
"245","C19orf21","NA","NA"
"246","HES2","NA","NA"
"247","TNFAIP6","NA","NA"
"248","TRIM51EP","NA","NA"
"249","TRPC6","NA","NA"
"250","CYP1A1","NA","NA"
"251","C6orf141","NA","NA"
"252","TRIM51GP","NA","NA"
"253","SPANXN3","NA","NA"
"254","ZRSR1","NA","NA"
"255","CTH","NA","NA"
"256","DNAH7","NA","NA"
"257","LACC1","NA","NA"
"258","GCH1","NA","NA"
"259","SOX9","6.69105103679638","2.25337402519239E-18"
"260","PPP1R9A","NA","NA"
"261","CD9","NA","NA"
"262","NOV","NA","NA"
"263","DTNA","NA","NA"
"264","SP5","NA","NA"
"265","MAFB","NA","NA"
"266","PRSS12","NA","NA"
"267","SRSF8","5.9802637492889303","1.6829942919406499E-151"
"268","AC073333.1","NA","NA"
"269","HPSE","NA","NA"
"270","DDIT4L","NA","NA"
"271","VGF","NA","NA"
"272","DBNDD2","NA","NA"
"273","KIF21A","NA","NA"
"274","PMAIP1","NA","NA"
"275","AXIN2","NA","NA"
"276","FBXO33","NA","NA"
"277","RGCC","NA","NA"
"278","ANKRD33B","NA","NA"
"279","WNT11","NA","NA"
"280","CD83","NA","NA"
"281","HIST1H4H","NA","NA"
"282","CNNM4","NA","NA"
"283","RGS16","NA","NA"
"284","SAT1","6.0757172374356099","7.2625926618154795E-5"
"285","EGR2","NA","NA"
"286","RASL11B","NA","NA"
"287","AVPI1","NA","NA"
"288","HSPA2","1.66450999443682","1.5879479355301699E-32"
"289","RP11-589F5.3","NA","NA"
"290","RBBP6","4.6093093159789698","2.8957016185562601E-198"
"291","CCL20","2.2056412293887999","0.130912849009969"
"292","HERC5","NA","NA"
"293","ALPP","NA","NA"
"294","FAM90A1","NA","NA"
"295","DUSP8","NA","NA"
"296","MAFA","NA","NA"
"297","KLF4","NA","NA"
"298","PCDHA1","NA","NA"
"299","FRAT2","NA","NA"
"300","MREG","NA","NA"
"301","HIST1H2BD","NA","NA"
"302","SYNJ1","1.23874940944578","0.40721648627981899"
"303","THEMIS","NA","NA"
"304","HEY1","NA","NA"
"305","HIST1H2BO","NA","NA"
"306","CCRL1","NA","NA"
"307","EPPK1","NA","NA"
"308","COL4A4","NA","NA"
"309","EAF1","NA","NA"
"310","MOV10L1","NA","NA"
"311","GRHL1","NA","NA"
"312","ZNF878","NA","NA"
"313","FAM90A25P","NA","NA"
"314","ICAM1","4.0410459588616998","2.5623641126993801E-11"
"315","CCNJ","NA","NA"
"316","SPTY2D1","3.6488964133650801","1.02486240872389E-50"
"317","GRAMD1C","NA","NA"
"318","TMEM74","NA","NA"
"319","GUSBP1","NA","NA"
"320","ZNF622","3.42959595710118","1.9742638256908699E-73"
"321","PYGM","3.15818713840798","0.117535859600381"
"322","PRAMEF16","NA","NA"
"323","PITX1","NA","NA"
"324","NFYA","5.1644108231896704","7.0809940135702204E-18"
"325","RP11-321C1.1","NA","NA"
"326","MYLIP","NA","NA"
"327","ZNF365","NA","NA"
"328","SLC16A10","NA","NA"
"329","MED26","NA","NA"
"330","SOBP","NA","NA"
"331","GPRIN3","NA","NA"
"332","ARHGAP42","NA","NA"
"333","DIRAS3","NA","NA"
"334","CLDN14","NA","NA"
"335","MPZL3","NA","NA"
