"","geneid","hl.ratio","pval"
"5621","ZNF528","NA","NA"
"5622","TNNT1","NA","NA"
"5623","IWS1","-2.0322573372590601E-2","0.94775319407362302"
"5624","SLC52A2","NA","NA"
"5625","TIGD2","NA","NA"
"5626","NBEAL1","1.0473002141007699","0.65729584760241599"
"5627","NDUFB2","1.3180658657717299","0.54055846811984298"
"5628","MRPL13","-0.103764583507581","0.73972035869314401"
"5629","PDE8A","NA","NA"
"5630","BBX","NA","NA"
"5631","LGALS3BP","-0.48617888616897997","4.2813357473271496E-3"
"5632","SP1","-1.41534113421465","0.30325164659081699"
"5633","NUFIP2","-0.25005343422579801","0.163159496534001"
"5634","ATP5SL","NA","NA"
"5635","MAN2B1","-2.6859951827901799E-2","0.92585703436324096"
"5636","DCN","NA","NA"
"5637","ZNRD1","0.120339179582215","0.99845594370716195"
"5638","DPP7","-0.47292075033235897","4.72529502847528E-2"
"5639","TIPRL","0.13098359704418799","0.282598935436017"
"5640","ZCCHC9","-0.31533701910764","0.83657624240659501"
"5641","MRPS10","NA","NA"
"5642","TAPBPL","NA","NA"
"5643","EXOSC1","-0.33532470461226599","0.26937557263621797"
"5644","STX5","-0.35309857621451002","4.1719911485929302E-2"
"5645","TRMT61A","0.44132243698460999","0.59246745171748505"
"5646","LAMB1","4.0089876042731804E-3","0.94353489914628497"
"5647","RBM41","NA","NA"
"5648","ANO7","NA","NA"
"5649","MYL12A","8.9073848035265593E-2","0.40980018287265302"
"5650","DUSP28","NA","NA"
"5651","SNX24","0.36788865686328298","0.87524096518435301"
"5652","HLA-F","NA","NA"
"5653","ARF4","-5.0941697389691898E-2","0.57499308537958405"
"5654","C1R","NA","NA"
"5655","PPWD1","0.69326336143940603","8.8093090454682998E-2"
"5656","MKNK1","NA","NA"
"5657","DISP1","NA","NA"
"5658","DYM","NA","NA"
"5659","FOXJ2","NA","NA"
"5660","CDRT4","NA","NA"
"5661","TMEM109","0.13975629981697299","0.61766430904218705"
"5662","HNRNPH3","NA","NA"
"5663","ATP5H","2.8247310453026401E-3","0.96091584151391995"
"5664","NUCB1","-0.113056621539325","0.44249086386201503"
"5665","ISLR","NA","NA"
"5666","PABPC4","-5.7216639745693999E-2","0.442312653527"
"5667","C16orf45","NA","NA"
"5668","SNF8","-1.54419332259529","0.27004334255184298"
"5669","CAPN3","NA","NA"
"5670","UBA5","-0.74304718228534805","6.0205764000253702E-3"
"5671","AZI2","NA","NA"
"5672","MSL3","NA","NA"
"5673","NPEPPS","-0.104887594709168","4.1423908902400997E-3"
"5674","CDKN1A","-0.120127427502947","0.54958162603651495"
"5675","ZFYVE16","-2.4538338833104398","6.1678842457552903E-2"
"5676","PISD","NA","NA"
"5677","TKT","1.3921795440548E-2","0.72643325464066699"
"5678","NDUFB1","NA","NA"
"5679","STARD3","NA","NA"
"5680","PHB2","-0.18617544133505701","6.0901394450729097E-2"
"5681","SGK3","NA","NA"
"5682","H2AFY","-4.54787733198498E-2","0.58657846868074703"
"5683","FTSJ2","NA","NA"
"5684","POU4F1","NA","NA"
"5685","PRPF19","5.2105955016948598E-2","0.53072364340736999"
"5686","RAD54B","NA","NA"
"5687","TBC1D25","NA","NA"
"5688","SNX19","NA","NA"
"5689","RRP36","-3.8277104185472899","6.6903737236246902E-2"
"5690","ST13","-8.9845974575814294E-2","0.32130741320537598"
"5691","WDR5","-0.28444573875051998","0.26482046564477602"
"5692","MORF4L2","0.59237258846863095","5.8933678818744401E-4"
"5693","KLF10","NA","NA"
"5694","C15orf39","NA","NA"
"5695","CTBP2","-0.48057541985642599","1.5816798543216E-2"
"5696","TMEM14C","NA","NA"
"5697","GSTP1","-0.13952848701467499","0.75605021612578205"
"5698","CLTA","-0.49024650482267801","1.07651753772825E-2"
"5699","METTL25","NA","NA"
"5700","ARL6IP6","-0.235126587850853","0.82694271637137595"
"5701","STK19","NA","NA"
"5702","ZNF2","NA","NA"
"5703","ENSA","0.34869155639763499","0.437303158833031"
"5704","ZNF608","NA","NA"
"5705","TENM4","NA","NA"
"5706","APOOL","9.6904637124051299E-2","0.62339109792222902"
"5707","MIS18BP1","NA","NA"
"5708","MBNL1","-1.6767934372725299","1.2520005429264599E-4"
"5709","CMPK1","-0.15074070004682899","0.14064493490424201"
"5710","LRPPRC","-4.1970099192864402E-2","0.43710709921555901"
"5711","ARNT","-9.9367444195846893E-2","0.88315915713283599"
"5712","ANKRD11","NA","NA"
"5713","ING5","NA","NA"
"5714","TMEM117","NA","NA"
"5715","ENOPH1","-2.3856006673843499E-3","0.95736305430287805"
"5716","CRELD1","-0.17595435174256599","0.73032274215472504"
"5717","NOD1","NA","NA"
"5718","TTC32","NA","NA"
"5719","MRTO4","0.14201632490755201","0.490605058057409"
"5720","RRM2","-0.70308291605631501","4.1445748156837096E-6"
"5721","TRAF4","NA","NA"
"5722","NUDT15","-0.45505287289777602","0.68347986891947599"
"5723","CKS2","NA","NA"
"5724","TAF1C","NA","NA"
"5725","SPTSSA","NA","NA"
"5726","NDUFA5","-0.13561301043385801","0.78021797020675998"
"5727","ITGA7","-0.42157832619199598","1.03706524908903E-4"
"5728","TSNAX","-0.33202261029779401","0.179206846736776"
"5729","ANK3","NA","NA"
"5730","BOLA3","NA","NA"
"5731","TMEM47","NA","NA"
"5732","C16orf52","NA","NA"
"5733","KLHL7","NA","NA"
"5734","CRYZL1","-6.9931853639361797E-3","0.970172624290772"
"5735","AAMDC","-0.205346920931821","0.47978755612282298"
"5736","TBC1D3G","NA","NA"
"5737","SRBD1","4.2153814300004502","5.4513058751315902E-2"
"5738","ITGBL1","0.60398061241668199","0.11394471481841401"
"5739","COMMD6","0.60416035584468697","0.40302366017118502"
"5740","C12orf10","-0.14242625399029399","0.37146946066653502"
"5741","AKT1S1","2.0612600241272898","0.163609604146917"
"5742","HSPA1L","-0.82020016781064997","0.499591566867368"
"5743","NOC3L","8.72529514064041E-2","0.70482220693683495"
"5744","TRIM39","NA","NA"
"5745","SERTAD2","NA","NA"
"5746","DNAL1","NA","NA"
"5747","CLCN4","NA","NA"
"5748","ZC3H7A","-1.6429266069531701","0.37311344789172202"
"5749","FKBP7","-0.101001456612797","0.67742494543207799"
"5750","EXO1","NA","NA"
"5751","TMEM101","NA","NA"
"5752","MAP1LC3C","NA","NA"
"5753","EBPL","NA","NA"
"5754","ABI2","8.7120025306004004E-2","0.80285810266830904"
"5755","CRTAP","-9.6047577661688699E-2","0.333184635814057"
"5756","PDE4DIP","NA","NA"
"5757","UBE3C","4.3268021440020003E-2","0.86653305863636398"
"5758","MAN1A2","NA","NA"
"5759","CYB5D2","NA","NA"
"5760","NIF3L1","-0.55030096995352895","0.13466034018620501"
"5761","ELK4","NA","NA"
"5762","CD81","1.7037077688704401","0.47981210965861798"
"5763","AGL","NA","NA"
"5764","NEU3","4.2441482790390399","4.1266370725509899E-2"
"5765","MRPL35","NA","NA"
"5766","COPZ1","-5.42759560972568E-2","0.65755634939039997"
"5767","ZBTB8A","NA","NA"
"5768","CD99","-0.52105237587430098","9.4182171399496495E-4"
"5769","CREB1","0.378362751749582","0.35790762163104101"
"5770","TSG101","-0.20122577335738301","0.26815372137028398"
"5771","EXOC5","2.19400287127554E-2","0.92527953898442405"
"5772","BET1","0.23836752883208101","0.746252186664352"
"5773","ROR1","NA","NA"
"5774","REXO4","2.4367390020936899","9.5910078275996194E-2"
"5775","ECM1","-0.13245488218715501","0.58400935070671001"
"5776","C15orf40","NA","NA"
"5777","IDS","NA","NA"
"5778","TPI1","8.5389965312911306E-2","7.3774140790543504E-3"
"5779","SLC12A9","0.24396526794293999","0.89494832094174204"
"5780","ELF2","NA","NA"
"5781","RP11-706O15.1","NA","NA"
"5782","IFITM1","NA","NA"
"5783","MGST1","-2.36243021146583E-2","0.86184292831165898"
"5784","NETO2","NA","NA"
"5785","PIK3R2","-0.95722028753205002","5.5136700446638202E-2"
"5786","PIK3R2","-0.95722028753205002","5.5136700446638202E-2"
"5787","SLC39A14","NA","NA"
"5788","WASH3P","NA","NA"
"5789","NEK4","NA","NA"
"5790","ARFIP1","-8.97872435402811E-2","0.79794253237905699"
"5791","ARL14EP","NA","NA"
"5792","ZBTB33","NA","NA"
"5793","CDC27","1.6194267254452599","4.0962912396167898E-4"
"5794","POLR2G","0.13891112271397901","0.55019899365332803"
"5795","ANAPC7","NA","NA"
"5796","SERBP1","-0.132047373378963","4.5739241379508903E-2"
"5797","GEMIN2","NA","NA"
"5798","BCAM","-0.41694753853871003","0.160633358910997"
"5799","LANCL2","-0.54541071184318701","2.34672412651524E-2"
"5800","AGTPBP1","NA","NA"
"5801","DCAF7","0.54522920521498897","0.22803443955872599"
"5802","DEPDC1B","NA","NA"
"5803","GPR107","NA","NA"
"5804","ANKRD46","NA","NA"
"5805","UBE2Q1","-0.48961773414990001","0.19613935263971499"
"5806","PRDX3","-8.2976882201360902E-2","0.51409418745902202"
"5807","PPIA","NA","NA"
"5808","CD320","NA","NA"
"5809","SLC35F5","NA","NA"
"5810","MRPL28","-0.65655190216390202","0.34310141277867501"
"5811","CPS1","3.2312330519501602","0.11417168093506699"
"5812","TNFAIP8L3","-0.18132109158109","0.83823866021123905"
"5813","NFS1","-0.86085590024495395","0.16957418636003299"
"5814","MRPS28","-3.1094753900733699E-2","0.95556291556527795"
"5815","KBTBD4","NA","NA"
"5816","KBTBD4","NA","NA"
"5817","TMEM35","NA","NA"
"5818","NDUFA12","-0.15061355295303699","0.50412564238908497"
"5819","SLC35C1","NA","NA"
"5820","RAP1A","4.29751770327629E-2","0.92868663269261398"
"5821","TRMT112","0.18664032442693099","0.54434848473207098"
"5822","CENPL","NA","NA"
"5823","PMPCA","9.3423301476797102E-2","0.72768259408779901"
"5824","VCAM1","5.49471206052604","2.8457037800277201E-3"
"5825","DKK3","NA","NA"
"5826","PRTFDC1","NA","NA"
"5827","BROX","0.492736181773893","9.4751394379089301E-3"
"5828","ABCC1","0.109541480523247","0.64404168790346705"
"5829","BCR","NA","NA"
"5830","PGK1","1.72398957126992E-2","0.47916672468261701"
"5831","KRT8","NA","NA"
"5832","WDR76","NA","NA"
"5833","CDK5R1","NA","NA"
"5834","DNM2","-0.18144158929441101","1.1699401724670501E-2"
"5835","PDLIM5","-4.3826327047406799E-2","0.33431815730784198"
"5836","RETSAT","0.39052180083534199","5.0261464520569697E-2"
"5837","RAP2C","-0.14698647426181","0.87083547047333998"
"5838","CCDC39","NA","NA"
"5839","METTL12","NA","NA"
"5840","KDM2B","-10.2331003246268","6.4422318263250802E-7"
"5841","CTSZ","9.0221588646187706E-2","0.47790653661257898"
"5842","ASNS","-2.25122455477379E-2","0.88377803507407005"
"5843","UBE2F","0.102249264832645","0.89905585582653602"
"5844","UBE2F","0.102249264832645","0.89905585582653602"
"5845","BST1","-0.30925946571859902","0.76521198910563903"
"5846","FEN1","-0.29658409664117802","5.0285228165761397E-3"
"5847","MRVI1","NA","NA"
"5848","CLEC3B","-0.44057760207781999","3.5525490728392198E-3"
"5849","MBD6","NA","NA"
"5850","CCDC134","1.2567246430121199","0.40616695822717802"
"5851","GOLM1","1.2358258869620799E-2","0.983570011763232"
"5852","RWDD4","-0.17889848395937299","0.65797178033200998"
"5853","HHIP","NA","NA"
"5854","PNMA2","NA","NA"
"5855","C7orf43","NA","NA"
"5856","AIFM2","NA","NA"
"5857","MTERFD2","NA","NA"
"5858","ATP13A1","0.40092396708941103","2.9581502434501E-3"
"5859","CTSB","-0.12448033544466","8.20713342341097E-2"
"5860","LEO1","7.6646381762255203E-2","0.81483994006246796"
"5861","PA2G4","8.0494228535141002E-2","7.6073483337662201E-2"
"5862","PA2G4","8.0494228535141002E-2","7.6073483337662201E-2"
"5863","C3orf14","NA","NA"
"5864","DHX57","0.27362613020906401","0.83660667354582696"
"5865","MLF2","-1.81402531939775","0.23968243033241701"
"5866","MAST2","NA","NA"
"5867","CDH13","-0.14139179288656301","0.28711714554686502"
"5868","BABAM1","-0.63274874871940301","0.126491882218183"
"5869","WDR41","NA","NA"
"5870","CTTNBP2NL","5.35174308329565E-2","0.86744083700361396"
"5871","SDC4","-1.8092627931401","1.04568906988921E-20"
"5872","UXT","0.31906327888434799","0.61024112369769801"
"5873","U2AF1L4","NA","NA"
"5874","AKR1B1","6.5162604322801701E-2","0.52472956032387896"
"5875","GRB10","NA","NA"
"5876","RNASEL","NA","NA"
"5877","SLC38A6","NA","NA"
"5878","CD151","-0.42375731646582099","2.3788932233308001E-6"
"5879","RAB28","-1.07801591467211","0.46693764475362398"
"5880","TGDS","NA","NA"
"5881","IBA57","NA","NA"
"5882","NUDT2","-0.165928221903552","0.48398808667193799"
"5883","ALMS1","-7.1859444915765698","6.2352187454590101E-4"
"5884","METTL16","NA","NA"
"5885","CASP2","NA","NA"
"5886","GNAS","-8.4094635509509394E-2","0.39054199467732098"
"5887","QSER1","NA","NA"
"5888","ERO1L","7.2670476145030999E-2","0.20119794170462699"
"5889","CDK19","NA","NA"
"5890","MURC","NA","NA"
"5891","MAN2B2","0.21630628562283899","0.63779776390898502"
"5892","TMC7","NA","NA"
"5893","CSNK1D","NA","NA"
"5894","SPNS1","NA","NA"
"5895","HOXB-AS3","NA","NA"
"5896","CCPG1","-5.2431454023105504","1.8788896390451801E-4"
"5897","SETD9","NA","NA"
"5898","FAIM","NA","NA"
"5899","41699","NA","NA"
"5900","ROCK2","-0.18163662035550199","5.1767626935475999E-2"
"5901","DENND4C","1.7940212134151301","0.256992401358344"
"5902","NUDT19","-0.617579607847625","0.77764377078154701"
"5903","BRIP1","NA","NA"
"5904","ATRAID","NA","NA"
"5905","HMGN1","-0.69032958250228305","0.60492237851525699"
"5906","FBXO32","NA","NA"
"5907","RABGAP1L","NA","NA"
"5908","CPD","-0.56415124295541996","7.1985801846433995E-4"
"5909","NFATC2IP","NA","NA"
"5910","PRPSAP1","-0.16930843668784601","0.65311061769239798"
"5911","DOCK2","NA","NA"
"5912","SURF4","2.13799844830183E-2","0.77875212115633796"
"5913","PGAM1","-5.25895046268628E-3","0.94380283796605802"
"5914","TRIM68","NA","NA"
"5915","C1orf213","NA","NA"
"5916","ACO2","-8.1912341125955995E-2","0.206341170207891"
"5917","BAZ2B","NA","NA"
"5918","GIGYF2","-0.68208662432526901","4.3318009233782102E-7"
"5919","ZNRF1","NA","NA"
"5920","SMC4","-0.477825051349268","7.6251662492853198E-6"
"5921","TBK1","-0.94916188192513895","4.4293379258133597E-5"
"5922","MAP4K4","-0.417398253456782","3.77596730929562E-4"
"5923","ANK2","NA","NA"
"5924","HP1BP3","-0.100038044755055","0.12931645423235"
"5925","SPECC1","NA","NA"
"5926","BMPR1B","NA","NA"
"5927","RDX","3.6052425609324097E-2","0.51824278838398796"
"5928","RPS27L","-0.15300634848627001","0.43439777127165002"
"5929","DNA2","NA","NA"
"5930","GLB1","-7.3268944861556606E-2","0.52093133069882702"
"5931","STK38","-0.58127011610170598","9.9328842899659098E-2"
"5932","ZMYM6","NA","NA"
"5933","CTSC","-0.52462243707992295","2.0121500488514202E-3"
"5934","RRAGC","NA","NA"
"5935","SGPL1","-0.10836818114979301","0.65182241527237506"
"5936","SUPT16H","2.6699088497085102E-2","0.69695381336626605"
"5937","MLTK","NA","NA"
"5938","C7orf55","0.59251637399218504","0.78361237112054305"
"5939","FN1","-4.9284078610794299E-2","7.5546512040979398E-3"
"5940","PMS1","NA","NA"
"5941","ELP5","-0.185929327342964","0.89255090129345005"
"5942","STK24","-9.8854307638919198E-2","0.62458920401471296"
"5943","CCDC14","NA","NA"
"5944","HAX1","-2.0419992460972001","7.9430161854458499E-4"
"5945","RERE","NA","NA"
"5946","ZC3H14","-1.15897717182691","5.0729825640869003E-7"
"5947","CCDC132","-1.5170742936228099E-2","0.92100958420934798"
"5948","UBE2R2","0.190302669091889","0.49064402989549999"
"5949","TMSB4X","NA","NA"
"5950","SRF","NA","NA"
"5951","RP11-396K3.1","NA","NA"
"5952","DIDO1","-0.81395195982297497","6.4969252810640203E-4"
"5953","AL133216.1","NA","NA"
"5954","GRPEL1","-0.40622348575845602","1.9931930359551899E-2"
"5955","PGM1","3.3592355254219997E-2","0.43095435741138299"
"5956","SEC22C","NA","NA"
"5957","MEST","0.12066455879151","0.31427742680122001"
"5958","ZNF177","NA","NA"
"5959","ZNF569","NA","NA"
"5960","PTPN12","-0.15609746659794099","5.3590503950962598E-2"
"5961","SPATA5L1","NA","NA"
"5962","N4BP2L2","NA","NA"
"5963","N4BP2L2","NA","NA"
"5964","ATPIF1","-0.11388840669313401","0.82429359686293902"
"5965","ARID1B","-3.3516015899976601","7.9327680996615205E-2"
"5966","KIAA1024","NA","NA"
"5967","C11orf1","NA","NA"
"5968","CORO1A","2.3815487878438999","1.3426610089084399E-3"
"5969","MRPL55","-0.46194650005863802","0.477280548688582"
"5970","NRG4","NA","NA"
"5971","GPAA1","-4.4336209607607001E-2","0.91252309803148102"
"5972","SEZ6L2","NA","NA"
"5973","SWT1","NA","NA"
"5974","OCIAD1","-0.19972458753318001","0.377434487245074"
"5975","GOLGA6L9","NA","NA"
"5976","GOLGA6L9","NA","NA"
"5977","C21orf119","NA","NA"
"5978","CUTA","0.43651695519407202","0.23852878895017601"
"5979","HIGD1A","NA","NA"
"5980","C4orf52","NA","NA"
"5981","DNAJC10","-0.15442777087854601","0.344514039086255"
"5982","CNOT11","-1.55693357588276","6.7675890712733902E-2"
"5983","DLAT","-0.23765303462158899","5.9002239603621498E-2"
"5984","PVR","-0.62330639232875795","0.18655730851630101"
"5985","BICD2","0.13484708076329099","0.35291484339870899"
"5986","PPP1R3C","NA","NA"
"5987","CASP8AP2","NA","NA"
"5988","CLN8","NA","NA"
"5989","PKD2","-2.7046672711539599E-2","0.93618877074019502"
"5990","CYFIP2","NA","NA"
"5991","MRPS31","-6.4299009119160103E-2","0.82917287731031197"
"5992","FKBP1A","-0.30070583127017497","8.5823253512477202E-2"
"5993","SACS","-0.16907325804342699","0.52523097515912098"
"5994","ESCO2","NA","NA"
"5995","RFC5","-0.35010013113373301","0.14197994887367499"
"5996","OARD1","0.30000889045134599","0.30042468324438598"
"5997","CNTLN","NA","NA"
"5998","PTTG1IP","-0.90984588813034994","7.3370167262661805E-4"
"5999","GPKOW","-0.27077890891348899","0.462001899498174"
"6000","MRC2","-0.50036800539582704","8.7358190458746697E-20"
"6001","ANKRD42","NA","NA"
"6002","S100A6","6.9709591655181804E-3","0.90458224616758798"
"6003","PSEN2","1.2078723489011101","0.60901808248429401"
"6004","PIGL","NA","NA"
"6005","TMEM258","NA","NA"
"6006","ZNF470","NA","NA"
"6007","NME7","-0.52623954721101796","0.31295488596163501"
"6008","ATP5G2","NA","NA"
"6009","NUB1","-0.95846489833692805","3.54124231643443E-2"
"6010","NCOA2","NA","NA"
"6011","PLA2G12A","NA","NA"
"6012","SH3BGRL","7.4520823190903099E-2","0.68806284418333297"
"6013","SLFN12","NA","NA"
"6014","CCDC25","-0.37050842843245302","0.22669395288003999"
"6015","CITED2","NA","NA"
"6016","NUP107","-0.51850203037374998","3.69822685406889E-3"
"6017","ZSWIM1","NA","NA"
"6018","POLR2E","-9.7133745669586297E-2","0.66995070147290403"
"6019","MRPL2","0.24916461688579999","0.70688818050889202"
"6020","DTX3","NA","NA"
"6021","CHID1","7.8740296038738097E-2","0.70101136122831498"
"6022","ANKRD13A","-0.29917368536956801","7.8652877465423807E-2"
"6023","DNAJB5","NA","NA"
"6024","LNPEP","-0.83956656117606299","1.6618054358678799E-5"
"6025","ACACA","1.31693417299071","1.3658790117620799E-6"
"6026","SPAG9","-0.22618263787408099","7.2151548243826304E-3"
"6027","DHRS12","NA","NA"
"6028","ADAT1","NA","NA"
"6029","WBP2","-0.271929009291136","0.37430101264436899"
"6030","ZNF624","NA","NA"
"6031","CCS","-0.42859726788114499","0.379339202196391"
"6032","ALKBH5","-0.69135823579760203","3.9613960972738699E-2"
"6033","TSEN54","NA","NA"
"6034","GAA","-0.17173551282556701","8.9983239066633802E-2"
"6035","MAP1LC3A","0.21393538434142301","0.965419317060356"
"6036","LINC00493","NA","NA"
"6037","GALNT2","-0.24390340333913599","2.1041687794591701E-2"
"6038","AARS","4.1440593136651098E-2","0.353905604043668"
"6039","ZNF444","NA","NA"
"6040","PPP1R10","-0.405818469139823","0.25288066539960302"
"6041","UCHL5","-0.139675464203906","0.48531811274161601"
"6042","FLNB","0.23829837118665301","1.2529060777645201E-18"
"6043","MMP2","-0.29218883322250799","0.52794904275725996"
"6044","UBE2T","1.3585836989931099","7.2853858927001596E-4"
"6045","ANKRD44","NA","NA"
"6046","C11orf57","NA","NA"
"6047","P4HA2","-6.2125683399469597E-2","0.15186462452037999"
"6048","CDH24","NA","NA"
"6049","ZBTB3","NA","NA"
"6050","IK","-8.4796142347134104E-2","0.61725137684535103"
"6051","COL6A2","-0.20948257010667101","0.26818176563877499"
"6052","WIF1","NA","NA"
"6053","HNRPLL","1.4787576127079101","8.8846804877365298E-4"
"6054","KCTD2","NA","NA"
"6055","FBLN1","-3.6879773853435398","0"
"6056","SH3GLB1","-0.39131735971876802","1.2453295345893501E-3"
"6057","VPS33B","2.2675865445300998","9.27107984501599E-6"
"6058","HINT2","5.8652899849842302E-2","0.85325000701562603"
"6059","ZMAT3","-0.61069880493862805","9.6248289139935106E-2"
"6060","ADK","6.6631700641993696E-2","0.651004554938582"
"6061","ARNTL2","NA","NA"
"6062","TMEM9B","-0.66380169127751998","0.13777935404399"
"6063","PARM1","NA","NA"
"6064","TNNI1","NA","NA"
"6065","VKORC1","NA","NA"
"6066","VKORC1","NA","NA"
"6067","SPARC","-0.33328574473805","2.7824766474524198E-2"
"6068","MAML2","NA","NA"
"6069","UBXN6","-1.5596128760515799","8.8871560976756892E-9"
"6070","ZNF891","NA","NA"
"6071","PEX5","NA","NA"
"6072","RRP1","-0.36837837094853298","0.163501679067802"
"6073","SETD8","NA","NA"
"6074","SMARCC1","-0.215288599121983","0.69121817861261503"
"6075","OGFOD1","0.42307448119903301","0.88209302115284105"
"6076","TPP1","-4.4851974909876904E-3","0.98252550809141903"
"6077","WASH2P","-0.24935222660659201","0.60700733807111695"
"6078","SENP3","0.49830705317478602","0.43172059469410801"
"6079","SUPT7L","NA","NA"
"6080","IP6K1","-2.0122194645247502","0.33005506050294697"
"6081","GNL3L","NA","NA"
"6082","MYBL2","NA","NA"
"6083","CCDC146","1.10981556291827","0.44698200207924998"
"6084","FBXO38","NA","NA"
"6085","KLHL17","NA","NA"
"6086","VTI1B","-1.0512387611068099","2.08326638766577E-3"
"6087","SPIN3","NA","NA"
"6088","EID1","NA","NA"
"6089","NENF","3.7472130325990997E-2","0.85754815245298999"
"6090","PSD3","-0.80822008026166703","5.4620954431897099E-8"
"6091","CTC-203F4.1","NA","NA"
"6092","MIF","8.2687063293131899E-2","0.547741760832546"
"6093","41705","NA","NA"
"6094","ENPP1","-0.173003330519272","1.5506043763254099E-2"
"6095","RANBP1","-0.110953395612009","0.3690562484646"
"6096","COG5","-0.19261790921505501","0.64909622938524103"
"6097","NDUFS7","-9.7078366638054091E-3","0.95759204548621901"
"6098","NDUFB6","-0.507205803778774","0.68868870267044202"
"6099","HERC2","0.94755523930118501","0.14921741318919299"
"6100","GLO1","-3.1881773188366297E-2","0.69023769285598302"
"6101","JTB","-0.61209579309454398","0.737885371998794"
"6102","CDC25C","NA","NA"
"6103","ENO3","1.1887621177482199","0.58738544912221102"
"6104","ETNK2","NA","NA"
"6105","LHX4","NA","NA"
"6106","CTSO","NA","NA"
"6107","DOCK10","0.53858259757187898","3.1126742111663899E-2"
"6108","HADHB","-7.1681043474802295E-2","0.22060378831060101"
"6109","ZNF432","NA","NA"
"6110","PSMC3","-1.44509086977915E-2","0.83462800655220304"
"6111","SMC6","NA","NA"
"6112","WLS","0.45293186863038598","0.31311072755543901"
"6113","WDR82","-8.1036934652495892E-3","0.97205150220126202"
"6114","PLBD2","-0.20662350163535201","0.238668298146021"
"6115","VIMP","0.37531821147313998","0.237481150054134"
"6116","KLF2","NA","NA"
"6117","ERCC6","NA","NA"
"6118","ANKS1A","NA","NA"
"6119","DPF2","-0.78247621958318503","8.9500259577884697E-2"
"6120","FIS1","-4.2490941453229097E-2","0.86965198723598902"
"6121","FABP3","NA","NA"
"6122","TBCA","-7.9906409828697997E-2","0.48297481717655399"
"6123","THAP3","NA","NA"
"6124","MRPL46","-1.35583338933599","2.3915605574018201E-3"
"6125","ATP5O","-0.21644155361638701","7.7981363135651599E-2"
"6126","OST4","NA","NA"
"6127","TBX15","NA","NA"
"6128","CD302","NA","NA"
"6129","FCHSD1","NA","NA"
"6130","SAA2","NA","NA"
"6131","RYK","NA","NA"
"6132","NDUFB7","-0.13262083052187701","0.62998890699265497"
"6133","RNF7","-0.38976292880806701","0.639151125861537"
"6134","ZDHHC12","NA","NA"
"6135","XRCC4","NA","NA"
"6136","ABAT","NA","NA"
"6137","TFCP2","-1.2681208188034301","0.32614170899775402"
"6138","HTRA1","-0.359216870470766","4.2660779193957999E-7"
"6139","CDK2AP2","NA","NA"
"6140","GSTM3","-0.17557844765471001","0.44632112847026101"
"6141","SLC38A2","-1.18115938053499","1.1320485882227901E-13"
"6142","PCTP","NA","NA"
"6143","NCAPG2","NA","NA"
"6144","MYL6","-2.6603108244105899E-2","0.63749917356408103"
"6145","SSR1","-0.15424935841832699","0.62139963543052001"
"6146","GPNMB","NA","NA"
"6147","ATP6V0E2","NA","NA"
"6148","ORMDL3","NA","NA"
"6149","CFL1","-1.8610136157984E-3","0.98707622526596195"
"6150","APAF1","4.1779404951219901","7.0497905294342397E-2"
"6151","RILPL2","NA","NA"
"6152","HOMER1","NA","NA"
"6153","CNOT7","0.57176429934585904","0.32674843712533502"
"6154","COPG2","0.15864164618656801","0.33992491690584098"
"6155","FAM114A2","NA","NA"
"6156","MLF1IP","NA","NA"
"6157","CEPT1","1.36024761419666","0.52094771192197897"
"6158","SURF2","-0.30365197083777801","0.80850580472639499"
"6159","ATAD3B","NA","NA"
"6160","TCTN1","NA","NA"
"6161","KLHDC2","NA","NA"
"6162","ZNF593","0.14347695383515599","0.96532179352418501"
"6163","PEX11A","NA","NA"
"6164","RNPC3","NA","NA"
"6165","GALNT1","0.19441600753243499","0.22860419395686499"
"6166","HS6ST1","NA","NA"
"6167","PEX2","NA","NA"
"6168","WDR11","1.17179247157787","1.77027190711673E-9"
"6169","MSH3","0.49533497560949102","0.83504646459765297"
"6170","MRPS7","-0.38993718894317297","0.121918081415511"
"6171","LGALS1","8.8448968572604605E-2","4.2712067009235799E-2"
"6172","FXYD5","NA","NA"
"6173","PPARD","NA","NA"
"6174","RPUSD1","NA","NA"
"6175","LAMC2","NA","NA"
"6176","PSMC6","6.2713074694520102E-2","0.42334137815492801"
"6177","ZNF146","NA","NA"
"6178","BBC3","NA","NA"
"6179","ZNF579","NA","NA"
"6180","EXD2","NA","NA"
"6181","PPP6R1","-1.2258479655365999","4.32352744597738E-2"
"6182","RRM1","-5.7255304578452397E-2","0.53071239757653099"
"6183","ZDHHC18","NA","NA"
"6184","MED29","NA","NA"
"6185","E2F5","NA","NA"
"6186","SGCA","NA","NA"
"6187","SLC9A3R1","-0.40114241425536601","8.4005643166831095E-2"
"6188","KIF3B","3.8230776382184098E-2","0.95000491870320103"
"6189","CHM","4.0314730037677302","6.8411394914388898E-2"
"6190","ARL16","NA","NA"
"6191","COLEC10","NA","NA"
"6192","C4orf48","NA","NA"
"6193","CNPY3","-0.58212735258960802","1.3972506740738201E-2"
"6194","PPP4R1","-4.6198779606815399E-2","0.83276378210031499"
"6195","DOCK3","NA","NA"
"6196","LMAN1","-5.6714077241199597E-2","0.3641076018046"
"6197","ARPC3","0.130216997083728","7.5387126725952394E-2"
"6198","COQ10A","NA","NA"
