"","id","hgnc_symbol"
"9225","ENSG00000204673","AKT1S1"
"9226","ENSG00000204673","AKT1S1"
"9227","ENSG00000039650","PNKP"
"9228","ENSG00000167637","ZNF283"
"9229","ENSG00000196267","ZNF836"
"9230","ENSG00000170892","TSEN34"
"9231","ENSG00000170892","TSEN34"
"9232","ENSG00000090372","STRN4"
"9233","ENSG00000090372","STRN4"
"9234","ENSG00000167601","AXL"
"9235","ENSG00000167601","AXL"
"9236","ENSG00000167601","AXL"
"9237","ENSG00000196437","ZNF569"
"9238","ENSG00000196437","ZNF569"
"9239","ENSG00000204611","ZNF616"
"9240","ENSG00000167384","ZNF180"
"9241","ENSG00000167384","ZNF180"
"9242","ENSG00000159885","ZNF222"
"9243","ENSG00000105341","DMAC2"
"9244","ENSG00000105341","DMAC2"
"9245","ENSG00000105341","DMAC2"
"9246","ENSG00000105341","DMAC2"
"9247","ENSG00000105341","DMAC2"
"9248","ENSG00000011332","DPF1"
"9249","ENSG00000011332","DPF1"
"9250","ENSG00000011332","DPF1"
"9251","ENSG00000105053","VRK3"
"9252","ENSG00000105053","VRK3"
"9253","ENSG00000105053","VRK3"
"9254","ENSG00000256294","ZNF225"
"9255","ENSG00000178386","ZNF223"
"9256","ENSG00000062822","POLD1"
"9257","ENSG00000062822","POLD1"
"9258","ENSG00000142534","RPS11"
"9259","ENSG00000062370","ZNF112"
"9260","ENSG00000269858","EGLN2"
"9261","ENSG00000189144","ZNF573"
"9262","ENSG00000189144","ZNF573"
"9263","ENSG00000189144","ZNF573"
"9264","ENSG00000104825","NFKBIB"
"9265","ENSG00000104825","NFKBIB"
"9266","ENSG00000105063","PPP6R1"
"9267","ENSG00000126457","PRMT1"
"9268","ENSG00000126457","PRMT1"
"9269","ENSG00000126457","PRMT1"
"9270","ENSG00000131941","RHPN2"
"9271","ENSG00000105186","ANKRD27"
"9272","ENSG00000161618","ALDH16A1"
"9273","ENSG00000161618","ALDH16A1"
"9274","ENSG00000204920","ZNF155"
"9275","ENSG00000169136","ATF5"
"9276","ENSG00000124459","ZNF45"
"9277","ENSG00000087088","BAX"
"9278","ENSG00000087088","BAX"
"9279","ENSG00000087088","BAX"
"9280","ENSG00000087088","BAX"
"9281","ENSG00000063176","SPHK2"
"9282","ENSG00000105258","POLR2I"
"9283","ENSG00000013275","PSMC4"
"9284","ENSG00000013275","PSMC4"
"9285","ENSG00000105323","HNRNPUL1"
"9286","ENSG00000105323","HNRNPUL1"
"9287","ENSG00000188223",NA
"9288","ENSG00000269547",NA
"9289","ENSG00000272333","KMT2B"
"9290","ENSG00000267796","LIN37"
"9291","ENSG00000104835","SARS2"
"9292","ENSG00000104835","SARS2"
"9293","ENSG00000130244","FAM98C"
"9294","ENSG00000105372","RPS19"
"9295","ENSG00000099337","KCNK6"
"9296","ENSG00000213024","NUP62"
"9297","ENSG00000104960","PTOV1"
"9298","ENSG00000104960","PTOV1"
"9299","ENSG00000130669","PAK4"
"9300","ENSG00000130669","PAK4"
"9301","ENSG00000105568","PPP2R1A"
"9302","ENSG00000125741","OPA3"
"9303","ENSG00000248098","BCKDHA"
"9304","ENSG00000226763","SRRM5"
"9305","ENSG00000189042","ZNF567"
"9306","ENSG00000176024","ZNF613"
"9307","ENSG00000256683","ZNF350"
"9308","ENSG00000197619","ZNF615"
"9309","ENSG00000197619","ZNF615"
"9310","ENSG00000197619","ZNF615"
"9311","ENSG00000105559","PLEKHA4"
"9312","ENSG00000105559","PLEKHA4"
"9313","ENSG00000105223","PLD3"
"9314","ENSG00000142065","ZFP14"
"9315","ENSG00000181007","ZFP82"
"9316","ENSG00000125744","RTN2"
"9317","ENSG00000125744","RTN2"
"9318","ENSG00000105220","GPI"
"9319","ENSG00000105220","GPI"
"9320","ENSG00000087074","PPP1R15A"
"9321","ENSG00000160392","C19orf47"
"9322","ENSG00000105677","TMEM147"
"9323","ENSG00000105677","TMEM147"
"9324","ENSG00000186017","ZNF566"
"9325","ENSG00000186017","ZNF566"
"9326","ENSG00000186017","ZNF566"
"9327","ENSG00000142556","ZNF614"
"9328","ENSG00000188283","ZNF383"
"9329","ENSG00000267360",NA
"9330","ENSG00000197050","ZNF420"
"9331","ENSG00000126249","PDCD2L"
"9332","ENSG00000254004","ZNF260"
"9333","ENSG00000197608","ZNF841"
"9334","ENSG00000077312","SNRPA"
"9335","ENSG00000188493","C19orf54"
"9336","ENSG00000167595","PROSER3"
"9337","ENSG00000167595","PROSER3"
"9338","ENSG00000167595","PROSER3"
"9339","ENSG00000161677","JOSD2"
"9340","ENSG00000161677","JOSD2"
