Ensembl Gene ID,Ensembl Transcript ID,Associated Gene Name
ENSG00000109079,ENST00000226225,TNFAIP1
ENSG00000109079,ENST00000582302,TNFAIP1
ENSG00000109079,ENST00000577535,TNFAIP1
ENSG00000187258,ENST00000381553,NPSR1
ENSG00000187258,ENST00000465305,NPSR1
ENSG00000187258,ENST00000360581,NPSR1
ENSG00000187258,ENST00000381542,NPSR1
ENSG00000187258,ENST00000359791,NPSR1
ENSG00000187258,ENST00000531252,NPSR1
ENSG00000187258,ENST00000381539,NPSR1
ENSG00000138750,ENST00000264883,NUP54
ENSG00000138750,ENST00000514987,NUP54
ENSG00000138750,ENST00000514901,NUP54
ENSG00000148357,ENST00000624552,HMCN2
ENSG00000148357,ENST00000428715,HMCN2
ENSG00000148357,ENST00000611173,HMCN2
ENSG00000164796,ENST00000343508,CSMD3
ENSG00000164796,ENST00000297405,CSMD3
ENSG00000164796,ENST00000339701,CSMD3
ENSG00000164796,ENST00000455883,CSMD3
ENSG00000278259,ENST00000614623,MYO19
ENSG00000278259,ENST00000610930,MYO19
ENSG00000278259,ENST00000621344,MYO19
ENSG00000278259,ENST00000620640,MYO19
ENSG00000278259,ENST00000616159,MYO19
ENSG00000278259,ENST00000622055,MYO19
ENSG00000278259,ENST00000616207,MYO19
ENSG00000278259,ENST00000613551,MYO19
ENSG00000187736,ENST00000409720,NHEJ1
ENSG00000187736,ENST00000356853,NHEJ1
ENSG00000187736,ENST00000426304,NHEJ1
ENSG00000187736,ENST00000457600,NHEJ1
ENSG00000148832,ENST00000278060,PAOX
ENSG00000148832,ENST00000357296,PAOX
ENSG00000148832,ENST00000480071,PAOX
ENSG00000148832,ENST00000368539,PAOX
ENSG00000102181,ENST00000370377,CD99L2
ENSG00000102181,ENST00000355149,CD99L2
ENSG00000102181,ENST00000466436,CD99L2
ENSG00000102181,ENST00000634795,CD99L2
ENSG00000102181,ENST00000418547,CD99L2
ENSG00000102181,ENST00000613030,CD99L2
ENSG00000102181,ENST00000437787,CD99L2
ENSG00000241973,ENST00000255882,PI4KA
ENSG00000241973,ENST00000399213,PI4KA
ENSG00000241973,ENST00000449120,PI4KA
ENSG00000149179,ENST00000278460,C11orf49
ENSG00000149179,ENST00000378618,C11orf49
ENSG00000149179,ENST00000395460,C11orf49
ENSG00000149179,ENST00000378615,C11orf49
ENSG00000149179,ENST00000526827,C11orf49
ENSG00000231617,ENST00000445009,DAXX
ENSG00000231617,ENST00000433482,DAXX
ENSG00000231617,ENST00000453931,DAXX
ENSG00000231617,ENST00000454197,DAXX
ENSG00000231617,ENST00000451280,DAXX
ENSG00000231617,ENST00000622655,DAXX
ENSG00000171984,ENST00000378979,C20orf196
ENSG00000171984,ENST00000303142,C20orf196
ENSG00000171984,ENST00000445603,C20orf196
ENSG00000171984,ENST00000442185,C20orf196
ENSG00000154309,ENST00000284476,DISP1
ENSG00000214107,ENST00000378981,MAGEB1
ENSG00000214107,ENST00000397548,MAGEB1
ENSG00000214107,ENST00000397550,MAGEB1
ENSG00000275003,ENST00000626871,DDT
ENSG00000275003,ENST00000615721,DDT
ENSG00000275003,ENST00000629936,DDT
ENSG00000275003,ENST00000626046,DDT
ENSG00000275003,ENST00000629401,DDT
ENSG00000275003,ENST00000626838,DDT
ENSG00000165280,ENST00000358901,VCP
ENSG00000165280,ENST00000448530,VCP
ENSG00000165280,ENST00000417448,VCP
ENSG00000143379,ENST00000525956,SETDB1
ENSG00000143379,ENST00000271640,SETDB1
ENSG00000143379,ENST00000448029,SETDB1
ENSG00000143379,ENST00000368962,SETDB1
ENSG00000143379,ENST00000534805,SETDB1
ENSG00000143379,ENST00000368969,SETDB1
ENSG00000143379,ENST00000368963,SETDB1
ENSG00000143379,ENST00000498193,SETDB1
ENSG00000143379,ENST00000423081,SETDB1
ENSG00000269881,ENST00000600536,AC004754.3
ENSG00000109184,ENST00000334635,DCUN1D4
ENSG00000109184,ENST00000381441,DCUN1D4
ENSG00000109184,ENST00000505403,DCUN1D4
ENSG00000109184,ENST00000510808,DCUN1D4
ENSG00000109184,ENST00000451288,DCUN1D4
ENSG00000168389,ENST00000372811,MFSD2A
ENSG00000168389,ENST00000434861,MFSD2A
ENSG00000168389,ENST00000372809,MFSD2A
ENSG00000168389,ENST00000420632,MFSD2A
ENSG00000144554,ENST00000287647,FANCD2
ENSG00000144554,ENST00000419585,FANCD2
ENSG00000144554,ENST00000431693,FANCD2
ENSG00000144554,ENST00000383807,FANCD2
ENSG00000144554,ENST00000625535,FANCD2
ENSG00000171786,ENST00000302101,NHLH1
ENSG00000169862,ENST00000304623,CTNND2
ENSG00000169862,ENST00000511377,CTNND2
ENSG00000169862,ENST00000503622,CTNND2
ENSG00000169862,ENST00000502551,CTNND2
ENSG00000169862,ENST00000513598,CTNND2
ENSG00000169862,ENST00000508761,CTNND2
ENSG00000169862,ENST00000458100,CTNND2
ENSG00000158869,ENST00000367992,FCER1G
ENSG00000158869,ENST00000289902,FCER1G
ENSG00000158473,ENST00000368171,CD1D
ENSG00000261862,ENST00000572212,KRTAP1-5
ENSG00000231135,ENST00000435664,MDC1
ENSG00000231135,ENST00000416368,MDC1
ENSG00000231135,ENST00000412395,MDC1
ENSG00000231135,ENST00000430358,MDC1
ENSG00000231135,ENST00000447192,MDC1
ENSG00000231135,ENST00000546539,MDC1
ENSG00000162576,ENST00000309212,MXRA8
ENSG00000162576,ENST00000445648,MXRA8
ENSG00000162576,ENST00000477278,MXRA8
ENSG00000162576,ENST00000342753,MXRA8
ENSG00000197165,ENST00000533150,SULT1A2
ENSG00000197165,ENST00000335715,SULT1A2
ENSG00000197165,ENST00000526384,SULT1A2
ENSG00000197165,ENST00000395630,SULT1A2
ENSG00000163607,ENST00000383678,GTPBP8
ENSG00000163607,ENST00000383677,GTPBP8
ENSG00000163607,ENST00000467752,GTPBP8
ENSG00000163607,ENST00000473129,GTPBP8
ENSG00000163607,ENST00000619116,GTPBP8
ENSG00000163607,ENST00000618381,GTPBP8
ENSG00000182968,ENST00000330949,SOX1
ENSG00000108654,ENST00000225792,DDX5
ENSG00000108654,ENST00000450599,DDX5
ENSG00000108654,ENST00000578804,DDX5
ENSG00000108654,ENST00000579996,DDX5
ENSG00000108654,ENST00000577787,DDX5
ENSG00000108654,ENST00000577922,DDX5
ENSG00000108654,ENST00000581697,DDX5
ENSG00000108654,ENST00000581806,DDX5
ENSG00000108654,ENST00000578190,DDX5
ENSG00000108654,ENST00000583239,DDX5
ENSG00000108654,ENST00000579091,DDX5
ENSG00000108654,ENST00000585060,DDX5
ENSG00000108654,ENST00000584279,DDX5
ENSG00000108654,ENST00000583212,DDX5
ENSG00000108654,ENST00000585111,DDX5
ENSG00000108654,ENST00000630471,DDX5
ENSG00000166908,ENST00000422156,PIP4K2C
ENSG00000166908,ENST00000540759,PIP4K2C
ENSG00000166908,ENST00000551772,PIP4K2C
ENSG00000166908,ENST00000550465,PIP4K2C
ENSG00000166908,ENST00000354947,PIP4K2C
ENSG00000166908,ENST00000548264,PIP4K2C
ENSG00000144579,ENST00000443891,CTDSP1
ENSG00000144579,ENST00000273062,CTDSP1
ENSG00000144579,ENST00000452977,CTDSP1
ENSG00000144579,ENST00000428361,CTDSP1
ENSG00000144579,ENST00000431127,CTDSP1
ENSG00000188676,ENST00000389060,IDO2
ENSG00000188676,ENST00000502986,IDO2
ENSG00000003137,ENST00000001146,CYP26B1
ENSG00000003137,ENST00000412253,CYP26B1
ENSG00000003137,ENST00000474509,CYP26B1
ENSG00000003137,ENST00000461519,CYP26B1
ENSG00000003137,ENST00000546307,CYP26B1
ENSG00000140941,ENST00000268607,MAP1LC3B
ENSG00000140941,ENST00000565788,MAP1LC3B
ENSG00000125388,ENST00000398051,GRK4
ENSG00000125388,ENST00000503518,GRK4
ENSG00000125388,ENST00000398052,GRK4
ENSG00000125388,ENST00000345167,GRK4
ENSG00000125388,ENST00000504933,GRK4
ENSG00000170468,ENST00000304061,C14orf169
ENSG00000166341,ENST00000299441,DCHS1
ENSG00000215183,ENST00000436428,MSMP
ENSG00000148335,ENST00000372486,NTMT1
ENSG00000148335,ENST00000372483,NTMT1
ENSG00000148335,ENST00000459968,NTMT1
ENSG00000148335,ENST00000482347,NTMT1
ENSG00000148335,ENST00000372481,NTMT1
ENSG00000148335,ENST00000372480,NTMT1
ENSG00000148335,ENST00000613644,NTMT1
ENSG00000148335,ENST00000617943,NTMT1
ENSG00000148335,ENST00000611055,NTMT1
ENSG00000033178,ENST00000322244,UBA6
ENSG00000033178,ENST00000505673,UBA6
ENSG00000033178,ENST00000420827,UBA6
ENSG00000176973,ENST00000316409,FAM89B
ENSG00000176973,ENST00000449319,FAM89B
ENSG00000176973,ENST00000530349,FAM89B
ENSG00000109066,ENST00000417024,TMEM104
ENSG00000109066,ENST00000578764,TMEM104
ENSG00000109066,ENST00000582773,TMEM104
ENSG00000109066,ENST00000582330,TMEM104
ENSG00000109066,ENST00000335464,TMEM104
ENSG00000144339,ENST00000392314,TMEFF2
ENSG00000144339,ENST00000272771,TMEFF2
ENSG00000144339,ENST00000409056,TMEFF2
ENSG00000198870,ENST00000371957,STKLD1
ENSG00000132938,ENST00000612955,MTUS2
ENSG00000132938,ENST00000380808,MTUS2
ENSG00000132938,ENST00000431530,MTUS2
ENSG00000132938,ENST00000542829,MTUS2
ENSG00000188677,ENST00000406477,PARVB
ENSG00000188677,ENST00000338758,PARVB
ENSG00000188677,ENST00000444029,PARVB
ENSG00000188677,ENST00000404989,PARVB
ENSG00000188677,ENST00000619710,PARVB
ENSG00000139132,ENST00000534526,FGD4
ENSG00000139132,ENST00000531134,FGD4
ENSG00000139132,ENST00000472289,FGD4
ENSG00000139132,ENST00000427716,FGD4
ENSG00000139132,ENST00000546442,FGD4
ENSG00000139132,ENST00000583694,FGD4
ENSG00000139132,ENST00000525053,FGD4
ENSG00000171992,ENST00000394243,SYNPO
ENSG00000171992,ENST00000522122,SYNPO
ENSG00000171992,ENST00000307662,SYNPO
ENSG00000171992,ENST00000519664,SYNPO
ENSG00000276780,ENST00000612291,NLRP10
ENSG00000276780,ENST00000629228,NLRP10
ENSG00000277540,ENST00000612389,KIR2DL4
ENSG00000277540,ENST00000611244,KIR2DL4
ENSG00000277540,ENST00000622365,KIR2DL4
ENSG00000111875,ENST00000229595,ASF1A
ENSG00000174325,ENST00000308100,DIRC1
ENSG00000223590,ENST00000457728,MUC21
